               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018589,            0.018724,           0.0022175,             0.93136,             0.96169,             0.97432,             0.79752,            0.011436,            0.010411,           0.0011461,             0.00307,             0.00307,             0.00307
                  37,              0.0183,            0.018113,           0.0018955,             0.91996,             0.95911,             0.96309,              0.7911,            0.011428,             0.01032,            0.001111,            0.002872,            0.002872,            0.002872
                  38,            0.017982,            0.018378,            0.001997,             0.91935,             0.96973,             0.96073,             0.79271,            0.011189,            0.010272,          0.00097561,            0.002674,            0.002674,            0.002674
                  39,            0.017926,            0.017665,           0.0020835,             0.93035,             0.95911,             0.96652,             0.79665,            0.011477,            0.010275,            0.001092,            0.002476,            0.002476,            0.002476
                  40,            0.017724,            0.018315,            0.001895,             0.92243,             0.96822,             0.96847,             0.79893,            0.011379,            0.010347,          0.00093145,            0.002278,            0.002278,            0.002278
                  41,            0.017769,            0.017712,           0.0016727,             0.92846,             0.96318,             0.96888,             0.79993,            0.011222,              0.0102,          0.00080512,             0.00208,             0.00208,             0.00208
                  42,            0.017267,             0.01801,           0.0017802,             0.93201,             0.95682,             0.96472,             0.79956,            0.011112,            0.010281,          0.00094824,            0.001882,            0.001882,            0.001882
                  43,            0.017592,            0.017796,           0.0018117,             0.92891,              0.9617,              0.9702,             0.80759,            0.011095,            0.010105,          0.00095666,            0.001684,            0.001684,            0.001684
                  44,            0.017111,            0.017531,           0.0013782,             0.92045,             0.96056,             0.97111,             0.80513,            0.011192,             0.01016,           0.0010432,            0.001486,            0.001486,            0.001486
                  45,            0.017029,            0.018059,           0.0014024,             0.90685,             0.97212,             0.96525,             0.80231,            0.011153,            0.010109,           0.0013643,            0.001288,            0.001288,            0.001288
                  46,            0.016543,            0.017207,           0.0013499,             0.91489,             0.96458,             0.96643,             0.80395,            0.011151,            0.010191,           0.0013594,             0.00109,             0.00109,             0.00109
                  47,            0.016655,            0.016941,           0.0016829,             0.92619,             0.97152,             0.96992,             0.80666,            0.011157,            0.010129,          0.00086209,            0.000892,            0.000892,            0.000892
                  48,            0.016379,            0.017342,            0.001627,             0.92483,             0.97234,             0.97042,             0.81005,            0.011091,             0.01008,          0.00086815,            0.000694,            0.000694,            0.000694
                  49,            0.016586,            0.017403,           0.0015363,              0.9172,             0.97336,             0.96199,             0.80196,            0.011068,             0.01009,           0.0010361,            0.000496,            0.000496,            0.000496
